current,pow,throttle,volt,speed,fwd,rev,tic,timestamp
392,670,277,328,28,100,0,100,1567567125.45
403,670,298,329,28,100,0,100,1567567125.55
409,670,276,329,28,100,0,99,1567567125.65
408,669,281,328,28,100,0,101,1567567125.75
388,670,274,330,28,100,0,103,1567567125.86
389,670,278,329,25,100,0,91,1567567126.05
395,670,285,327,28,100,0,99,1567567126.15
396,670,282,328,27,100,0,99,1567567126.25
403,669,275,327,28,100,0,101,1567567126.35
386,670,281,327,28,100,0,99,1567567126.45
403,670,276,329,28,100,0,100,1567567126.55
419,669,272,327,27,100,0,101,1567567126.65
388,670,286,328,28,100,0,100,1567567126.75
398,670,271,327,28,100,0,100,1567567126.85
380,670,262,329,27,100,0,100,1567567126.95
392,669,274,328,28,100,0,100,1567567127.05
408,669,256,327,27,100,0,99,1567567127.15
366,670,271,328,28,100,0,101,1567567127.25
381,670,275,328,27,100,0,100,1567567127.35
404,670,272,329,28,100,0,99,1567567127.45
388,670,267,327,27,100,0,100,1567567127.55
392,670,262,328,28,100,0,100,1567567127.65
377,670,274,329,27,100,0,101,1567567127.75
413,669,271,328,27,100,0,100,1567567127.95
371,670,263,329,28,100,0,100,1567567128.05
389,669,265,329,27,100,0,100,1567567128.15
394,669,271,327,28,100,0,100,1567567128.25
377,670,268,323,27,100,0,101,1567567128.45
387,670,268,328,28,100,0,99,1567567128.55
389,670,257,331,27,100,0,101,1567567128.65
372,670,267,330,27,100,0,99,1567567128.75
390,669,268,327,28,100,0,100,1567567128.85
417,670,266,329,27,100,0,101,1567567128.95
373,670,266,330,28,100,0,101,1567567129.05
389,669,281,328,27,100,0,99,1567567129.15
377,670,264,329,27,100,0,99,1567567129.35
369,670,259,329,28,100,0,100,1567567129.45
374,670,261,328,27,100,0,101,1567567129.55
399,669,274,328,27,100,0,100,1567567129.65
400,670,267,328,27,100,0,99,1567567129.75
368,670,267,330,27,100,0,101,1567567129.85
377,670,266,328,27,100,0,99,1567567129.95
388,670,265,330,27,100,0,101,1567567130.05
403,669,268,329,27,100,0,100,1567567130.15
410,669,271,327,27,100,0,100,1567567130.25
397,670,265,327,27,100,0,99,1567567130.35
402,670,276,330,26,100,0,101,1567567130.45
390,670,275,329,27,100,0,100,1567567130.65
379,670,283,329,26,100,0,100,1567567130.75
387,670,277,328,27,100,0,101,1567567130.85
385,670,276,329,27,100,0,99,1567567130.95
386,670,281,328,27,100,0,101,1567567131.05
391,670,295,329,26,100,0,100,1567567131.15
414,669,297,328,27,100,0,99,1567567131.25
410,670,278,329,27,100,0,101,1567567131.35
402,670,285,327,27,100,0,99,1567567131.45
403,670,298,327,27,100,0,100,1567567131.55
408,669,288,327,26,100,0,101,1567567131.65
396,670,294,327,27,100,0,99,1567567131.75
412,669,289,326,26,100,0,101,1567567131.85
419,669,289,328,26,100,0,100,1567567132.05
411,670,287,328,28,100,0,101,1567567132.15
398,670,296,327,27,100,0,100,1567567132.25
435,669,282,326,26,100,0,99,1567567132.35
418,669,269,328,27,100,0,101,1567567132.45
401,670,288,328,27,100,0,100,1567567132.55
384,670,269,330,26,100,0,100,1567567132.75
377,670,269,329,27,100,0,101,1567567132.85
394,670,286,328,27,100,0,100,1567567132.95
395,669,273,328,27,100,0,99,1567567133.15
395,670,276,330,27,100,0,100,1567567133.25
420,669,287,327,26,100,0,101,1567567133.35
414,669,288,327,27,100,0,100,1567567133.45
397,670,278,328,27,100,0,99,1567567133.55
384,670,291,329,27,100,0,100,1567567133.65
406,670,281,331,27,100,0,100,1567567133.75
388,670,279,329,26,100,0,100,1567567133.85
407,669,291,328,27,100,0,101,1567567133.95
448,669,297,327,27,100,0,99,1567567134.15
417,669,279,328,26,100,0,100,1567567134.55
412,669,295,326,28,100,0,101,1567567134.65
